l1_cache.GetXHit_Arrival : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 56776707; SumSQ.u64 = 56776707; Count.u64 = 56776707; Min.u64 = 1; Max.u64 = 1; 
l1_cache.GetSXHit_Arrival : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.GetSHit_Blocked : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.GetXHit_Blocked : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.GetSXHit_Blocked : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.GetSMiss_Arrival : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 10464362; SumSQ.u64 = 10464362; Count.u64 = 10464362; Min.u64 = 1; Max.u64 = 1; 
l1_cache.GetXMiss_Arrival : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 5502127; SumSQ.u64 = 5502127; Count.u64 = 5502127; Min.u64 = 1; Max.u64 = 1; 
l1_cache.GetSXMiss_Arrival : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.GetSMiss_Blocked : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.GetXMiss_Blocked : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
